City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
4,Carnarvon,AU,21.98,-24.8667,113.6333,clear sky,Hospitality Carnarvon
6,Plettenberg Bay,ZA,18.47,-34.0527,23.3716,clear sky,Thanda Vista B&B
22,Cape Town,ZA,20.62,-33.9258,18.4232,clear sky,"Radisson Blu Hotel Waterfront, Cape Town"
23,Ribeira Grande,PT,18.22,38.5167,-28.7,broken clouds,Quinta da Meia Eira
24,Hermanus,ZA,19.89,-34.4187,19.2345,overcast clouds,Misty Waves Boutique Hotel
33,Itoman,JP,21.01,26.1247,127.6694,moderate rain,Southern Beach Hotel & Resort Okinawa
37,Lawrenceville,US,19.83,33.9562,-83.988,moderate rain,"Holiday Inn Express & Suites Lawrenceville, an IHG Hotel"
48,Pingxiang,CN,18.38,27.6167,113.85,overcast clouds,Haiyuntian Hotel
101,Balkhash,KZ,19.03,46.844,74.9804,overcast clouds,Family
107,Cabo San Lucas,MX,21.61,22.8909,-109.9124,clear sky,Vista Roof Restaurant
