City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pa Sang,TH,18.5262,98.9394,28.11,67,74,4.37,broken clouds
80,Smithers,CA,54.7804,-127.1743,8.18,66,100,1.03,overcast clouds
81,Verkhoyansk,RU,67.5447,133.385,8.03,64,42,2.21,scattered clouds
82,Macamic,CA,48.7502,-78.9996,7.03,69,16,2.34,few clouds
83,Nchelenge,ZM,-9.3451,28.734,27.54,52,57,2.89,broken clouds
84,Saint George,US,37.1041,-113.5841,17.33,28,0,3.6,clear sky
85,Nemuro,JP,43.3236,145.575,8.04,85,100,8.81,overcast clouds
86,Kaeo,NZ,-35.1,173.7833,10.8,77,78,2.07,broken clouds
87,Fortuna,US,40.5982,-124.1573,9.96,94,100,0.0,overcast clouds
88,Kaitangata,NZ,-46.2817,169.8464,10.87,77,64,6.34,broken clouds
89,Saskylakh,RU,71.9167,114.0833,-1.6,92,94,5.09,overcast clouds
90,Ahipara,NZ,-35.1667,173.1667,12.62,69,64,1.92,broken clouds
91,Kadhan,PK,24.481,68.9859,38.76,18,0,11.44,clear sky
92,Fez,MA,34.0372,-4.9998,31.14,25,0,2.57,clear sky
93,Saint-Augustin,CA,51.226,-58.6502,10.32,70,93,9.68,overcast clouds
94,Busselton,AU,-33.65,115.3333,16.73,80,86,13.48,overcast clouds
95,Washington,US,47.5001,-120.5015,12.16,69,80,1.92,broken clouds
96,Puerto Ayora,EC,-0.7393,-90.3518,22.53,98,44,0.45,scattered clouds
97,Zhelyabovka,UA,45.3988,34.7578,15.23,68,100,4.19,light rain
98,Zhezkazgan,KZ,47.8043,67.7144,23.99,15,0,7.0,clear sky
99,Belaya,UA,49.029,25.7706,15.33,63,90,4.8,light rain
100,Chuy,UY,-33.6971,-53.4616,14.52,76,51,2.26,broken clouds
101,Balkhash,KZ,46.844,74.9804,19.03,30,100,2.12,overcast clouds
102,Verkh-Usugli,RU,52.7,115.1667,6.45,81,10,2.25,clear sky
103,Champasak,LA,14.75,106.0,23.19,98,100,0.78,light rain
104,Malatya,TR,38.5,38.0,21.03,31,75,8.75,broken clouds
105,Tekirdag,TR,40.978,27.5085,23.64,50,16,1.63,few clouds
106,Bethel,US,41.3712,-73.414,17.86,64,0,7.72,clear sky
107,Cabo San Lucas,MX,22.8909,-109.9124,21.61,74,4,1.79,clear sky
108,Port-Gentil,GA,-0.7193,8.7815,27.98,69,20,6.17,few clouds
109,Ilulissat,GL,69.2167,-51.1,2.36,63,86,8.09,overcast clouds
110,Dakar,SN,14.6937,-17.4441,26.49,61,75,5.14,broken clouds
111,Tondano,ID,1.3038,124.9112,21.05,93,78,0.3,broken clouds
112,Ketchikan,US,55.3422,-131.6461,8.26,100,100,4.12,light rain
113,Havre De Grace,US,39.5493,-76.0916,18.43,67,75,4.63,broken clouds
114,Nikolskoye,RU,59.7035,30.7861,16.6,43,11,4.7,few clouds
115,Brookhaven,US,31.5791,-90.4407,21.81,99,100,1.32,overcast clouds
116,Lata,PT,40.1629,-8.3327,20.04,45,76,5.77,broken clouds
117,Dikson,RU,73.5069,80.5464,-4.13,79,7,4.94,clear sky
118,Abomsa,ET,9.9833,39.9833,35.55,9,11,7.19,few clouds
119,Avarua,CK,-21.2078,-159.775,26.03,89,75,2.06,broken clouds
120,Henties Bay,NA,-22.116,14.2845,21.37,44,5,4.2,clear sky
121,Tura,IN,25.5198,90.2201,24.04,86,2,1.61,clear sky
122,San Cristobal,VE,7.7669,-72.225,23.1,63,19,3.16,few clouds
123,Qaqortoq,GL,60.7167,-46.0333,1.48,81,100,3.67,overcast clouds
124,Atar,MR,20.5169,-13.0499,41.21,10,71,5.23,broken clouds
125,Balikpapan,ID,-1.2675,116.8289,27.55,89,20,0.0,few clouds
126,Norman Wells,CA,65.282,-126.8329,1.02,93,75,0.0,broken clouds
127,Evensk,RU,61.95,159.2333,3.9,84,35,1.96,scattered clouds
128,Kavieng,PG,-2.5744,150.7967,28.27,71,100,7.33,overcast clouds
129,Oussouye,SN,12.485,-16.5469,32.1,40,2,4.63,clear sky
130,Constitucion,CL,-35.3333,-72.4167,11.89,91,100,0.86,overcast clouds
131,Bathsheba,BB,13.2167,-59.5167,29.34,70,40,7.2,scattered clouds
132,Cayenne,GF,4.9333,-52.3333,28.02,1,100,0.51,overcast clouds
133,Bulolo,PG,-7.2,146.65,20.89,98,34,0.97,scattered clouds
134,Quatre Cocos,MU,-20.2078,57.7625,25.06,73,64,7.22,broken clouds
135,Beira,MZ,-19.8436,34.8389,24.05,60,40,1.54,scattered clouds
136,Khomeyn,IR,33.6423,50.0789,27.99,11,4,13.62,clear sky
137,Westport,US,41.1415,-73.3579,18.56,57,0,8.23,clear sky
138,Dahra,DZ,36.2546,0.8519,29.66,38,10,6.15,clear sky
139,Zhigansk,RU,66.7697,123.3711,7.78,73,100,2.98,overcast clouds
140,Broome,US,42.2506,-75.833,13.81,75,94,3.13,overcast clouds
141,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,24.92,89,100,1.63,overcast clouds
142,Praya,CV,14.9215,-23.5087,27.3,47,20,8.23,few clouds
143,Bairiki,KI,1.3292,172.9752,27.0,89,40,2.57,light rain
144,Saldanha,ZA,-33.0117,17.9442,21.03,76,99,2.39,overcast clouds
145,Ayorou,NE,14.7308,0.9174,33.38,28,100,6.69,overcast clouds
146,Moroni,KM,-11.7022,43.2551,26.8,78,38,1.24,light rain
147,Dunedin,NZ,-45.8742,170.5036,12.67,51,6,2.24,clear sky
148,Laguna,US,38.421,-121.4238,17.27,75,0,1.54,clear sky
149,Kurumkan,RU,54.3,110.3,12.24,61,100,2.76,overcast clouds
150,Harper,LR,4.375,-7.7169,26.76,80,44,2.51,light rain
151,Adrar,MR,20.5022,-10.0711,40.4,8,5,2.19,clear sky
152,Mehamn,NO,71.0357,27.8492,7.95,71,43,4.27,scattered clouds
153,Flinders,AU,-34.5833,150.8552,14.54,91,100,1.34,light rain
154,Koslan,RU,63.4564,48.8989,3.2,95,100,3.14,light rain
